Beijing police raid gay spot, question dozens | The Jakarta Posthttp://www.thejakartapost.com/news/2010/09/28/beijing-police-raid-gay-spot-question-dozens.html
Moscow police violently break up gay pride rally | The Jakarta Posthttp://www.thejakartapost.com/news/2009/05/16/moscow-police-violently-break-gay-pride-rally.html
Polish lawmakers protest Walesa's anti-gay rant | The Jakarta Posthttp://www.thejakartapost.com/news/2013/03/06/polish-lawmakers-protest-walesas-anti-gay-rant.html
Homophobia remains a problem in Indonesia: Scholar | The Jakarta ...http://www.thejakartapost.com/news/2012/05/18/homophobia-remains-a-problem-indonesia-scholar.html
Argentine Senate considers same-sex marriage law | The Jakarta Posthttp://www.thejakartapost.com/news/2010/07/15/argentine-senate-considers-samesex-marriage-law.html
Lady Gaga flays Malaysia gay lyric censorship | The Jakarta Posthttp://www.thejakartapost.com/news/2011/03/24/lady-gaga-flays-malaysia-gay-lyric-censorship.html
California may ban gay teen 'conversion' therapy | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/09/california-may-ban-gay-teen-conversion-therapy.html
Gay marriage, marijuana highlight ballot measures | The Jakarta Posthttp://www.thejakartapost.com/news/2012/11/07/gay-marriage-marijuana-highlight-ballot-measures.html
Raul Castro's daughter backs Obama on gay marriage | The Jakarta ...http://www.thejakartapost.com/news/2012/05/11/raul-castros-daughter-backs-obama-gay-marriage.html
Students debate real-world issues at model UN conference | The ...http://www.thejakartapost.com/news/2014/11/22/students-debate-real-world-issues-model-un-conference.html
Searching for safe havens for the transgendered Indonesia | The ...http://www.thejakartapost.com/news/2012/11/02/searching-safe-havens-transgendered-indonesia.html
IMO view: Should RI legalize same sex marriage? | The Jakarta Posthttp://www.thejakartapost.com/news/2012/11/26/imo-view-should-ri-legalize-same-sex-marriage.html
Activists confront Russian envoy over anti-gay law | The Jakarta Posthttp://m.thejakartapost.com/news/2013/08/09/activists-confront-russian-envoy-over-anti-gay-law.html
California gay-marriage ban creates uncertainty | The Jakarta Posthttp://www.thejakartapost.com/news/2008/11/07/california-gaymarriage-ban-creates-uncertainty.html
Ministry allows Vimeo, keeps ban on pornography | The Jakarta Posthttp://www.thejakartapost.com/news/2014/11/07/ministry-allows-vimeo-keeps-ban-pornography.html
Shift on marriage energizes immigration activists | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/15/shift-marriage-energizes-immigration-activists.html
46 gay couples marry at Niagara Falls wedding | The Jakarta Posthttp://www.thejakartapost.com/news/2011/07/25/46-gay-couples-marry-niagara-falls-wedding.html
Gays, bisexuals, transgenders still discriminated against: Rights bodyhttp://www.thejakartapost.com/news/2008/11/12/gays-bisexuals-transgenders-still-discriminated-against-rights-body.html
Students campaign for stronger sexual rights protection | The ...http://www.thejakartapost.com/news/2014/09/30/students-campaign-stronger-sexual-rights-protection.html
'Don't ask, don't tell' is back in US military | The Jakarta Posthttp://www.thejakartapost.com/news/2010/10/22/039don039t-ask-don039t-tell039-back-us-military.html
Gay men divided over use of HIV prevention drug | The Jakarta Posthttp://m.thejakartapost.com/news/2014/04/07/gay-men-divided-over-use-hiv-prevention-drug.html
For gay youths, middle school can be toughest time | The Jakarta Posthttp://www.thejakartapost.com/news/2010/10/13/for-gay-youths-middle-school-can-be-toughest-time.html
Cambodia's PM speaks out against anti-gay bias | The Jakarta Posthttp://www.thejakartapost.com/news/2012/12/11/cambodias-pm-speaks-out-against-anti-gay-bias.html
Radical group threatens to close down LGBT seminar in Yogyakarta ...http://www.thejakartapost.com/news/2014/09/17/radical-group-threatens-close-down-lgbt-seminar-yogyakarta.html
